"BAAN NUMBER", "SAP NUMBER", "MATERIAL DESCRIPTION", "PURCHASE ORDER TEXT"
"533140","1203278","PIPE CONNECTOR FLEXIBLE 8777-2","O5-S2"
"302538","1203279","CARD,IC693ALG329 8PT AQ OUTPUT","T9-S2"
"522444","1203280","WEAR STRIP, 20MM X 8MM x 600MM","600MM (THREADED)       M3-S3"
"302935","1203281","OVERLOAD HEATER, CHFH23","C4-S2"
"523863","1203282","BEARING, SKF 23224CC/C3W33","L2-S10"
"523864","1203283","BEARING, SKF EXPLORER","22326CC/C3W33     L2-S11"
"417914","1203284","END PLUG FOR SAF 530 HOUSING","EPR16    I9-S4"
"523891","1203285","FILTER,PRESSURE ELEMENT (500L)","PART# 0500 D 010 BN4HC           L2-S2"
"417837","1203286","BEARING, FLANGE, 7/8"" BORED","4 BOLT           I8-S2"
"519196","1203287","PRESSURE RING IP#103-6074-9","K6-S7"
"519197","1203288","RING SEAL PI#103-6073-9","K6-S7"
"522631","1203289","OIL SEAL FOR 3.750"" SHAFT","PART# 0020809          M1-S1"
"522632","1203290","FELT RING:8-1/4""OD:7""ID","PART# 0039740                    M1-S2"
"522633","1203291","OIL SEAL:FOR 7.000"" SHAFT DIA.","PART# 0039741                   M1-S2"
"524337","1203292","PRESSURE REGULATOR WITHOUT","PRESSURE GAUGE (PART#197171)         N6-S2"
"418398","1203293","SPROCKET 40BS20 HT 7/8""","J6-S3"
"524389","1203294","TEFLON TUBE 35MM OD X 345MM LG","(PART#7496)                     N6-S7"
"524400","1203295","VALVE, PNEU. MINI 3/2","ELECTROMAGNETIC 24VDC (PART#194804)      N5-S2"
"524401","1203296","WEAR PART, PNEUMATIC, SET","CYLINDER QA\8080 (PART#29766)       N5-S2"
"524402","1203297","WEARING PART FOR BLIND PLATE","(PART#262700)                   N6-S5"
"524338","1203298","SAND HOSE WITH CONE","(PART#22178)  N7-S3"
"524339","1203299","WIPER","(PART#25002)                     N5-S6"
"524341","1203300","GLYCODUR BUSHING","(PART#26000)             N6-S2"
"524423","1203301","WEAR RING MIXER","(PART#262703)    N8-S4"
"524424","1203302","WEARING PART MIXER ENVELOPE","(PART#262721)    N6-STANDING"
"524343","1203303","GROOVE BALL BEARING","(PART#30168)       N5-S4"
"416446","1203304","BUSHING FOR WOODS SHEAV SDS 1""","H1-S6"
"415680","1203305","DAC60AFM AIR CYLINDER",">>>10-023<<<  W-10"
"521655","1203306","PIVOT SHAFT U9537D 12""","SAME AS E95370        L8-S3"
"527189","1203307","POWER UNIT, HP200 PU-008","1015090         W26"
"533135","1203308","HIGH VELOCITY BURNER","4441-5-ARH/F 2.2"" HIGH VEL.          W76-T"
"413761","1203309","250034-120 SEPERATOR (OIL-AIR)","W34"
"413762","1203310","OIL FILTER 40800","SULLAIR     G7-S6"
"413765","1203311","9107L5416 HYDRAULIC FILTER SE 1326","HYDRAULIC FILTER       M2-S2"
"413766","1203312","HYDRAULIC FILTER MXR9550","(9107L5425) HYDRAULIC FILTER      M2-S2"
"413767","1203313","FILTER 9107L5576","HYDRAULIC FILTER      M2-S3"
"303116","1203314","CIRCUIT BREAKER, CUTLER HAMMER","(20A/SINGLE POLE) 120/240V, 10K       C5-S3"
"306112","1203315","MOTOR, 1 1/2HP-1725RPM-56C","VEM3554, FRAME-220/440 VOLTS     W3-B2"
"522401","1203316","9107L4048 RING","M8-S9"
"414231","1203317","473231 SEAL","H9-S3"
"419181","1203318","HOIST BRAKE WHEEL 140A1318 10","J4-S3"
"407535","1203319","SWIVEL NUT GF-6 (1/2"")","COUP. W/FEMALE SP      F5-S5"
"418418","1203320","SPROCKET 812 STOCK BORE","J6-S7"
"418419","1203321","SPROCKET 8024 STOCK BORE","J6-S7"
"415218","1203322","DRIER, 1"" AIR LINE","AF50-N10D-Z (02004783)      H8-S6"
"412200","1203323","CABLE, AIR CRAFT 1/8""","G5-S2"
"412201","1203324","CABLE, AIR CRAFT  3/16""","MUST NOT BE COATED     G5-S3"
"412202","1203325","CABLE, STAINLESS STEEL   1/4""","1/4"" 7 X 19 SS304       G5-S3"
"412203","1203326","WIRE ROPE 3/8""  6X36 IWRC","6 X 36 LWRC      W24-T"
"412204","1203327","WIRE ROPE 1/2""","6 X 41 IWRC       W24-T"
"412207","1203328","WIRE ROPE,STAINLESS STEEL 3/8""","W24-T"
"405703","1203329","BRUSH, CLEANING","ADVANCED PARTS #343                      F6-S5"
"405704","1203330","BRUSH, WIRE #4","WITH WOOD HANDLE       F6-S7"
"405705","1203331","BRUSH-NYLON VALVE #37559","CLEANING BRUSH      F6-S2"
"405708","1203332","STEEL WOOL #1, MEDIUM","PAD (8 PADS IN BOX)     F6-S3"
"413535","1203333","FRRULOCKMALE CONNECTOR 14 FBUS","FERULOK (14-FBUS) G6-S10"
"413536","1203334","FITTING 14-HBU UNION FERUL","G6-S10"
"413537","1203335","FITTING 14-JBU-S UNION TEE","(14-JBU-S)      G6-S10"
"413538","1203336","FITTING 14-TU-S FERRULE FE","G6-S10"
"413539","1203337","NUTS 16-BTX","G6-S10"
"413540","1203338","NUT FERULOK 16-BU-S","G6-S10"
"408504","1203339","EPOXY 5 MINUTE  28 G.","DEV S208       F1-S1"
"413541","1203340","MALE ELBOW FERULOK 16-CBU-S","(16 CBUS)     G6-S5"
"408505","1203341","TEFLON PIPE TAPE","1/2"" X 520""      F1-S1"
"413542","1203342","UNION ELBOW 16EBU-S","FERULOK (16 EBUS)     G6-S5"
"420176","1203343","LIMIT SWITCH W/SHAFT","ASSY:24V TRANSFORM.       J3-S1"
"401753","1203344","DRILL ROD 3/8"" X 3 FT. OILCRAT","U6"
"405087","1203345","5/8""USS THRD.INSRT.329-10","HELICOIL THREAD REPAIR KIT F7-S7"
"405088","1203346","3/4-10 USS THRD.INSRT 770-3072","HELICOIL THREAD REPAIR KIT F7-S7"
"401754","1203347","DRILL ROD 7/16"" X 3 FT OILCRAT","U6"
"401756","1203348","DRILL ROD 5/8"" X 3 FT. OILCRAT","U6"
"401757","1203349","DRILL ROD 3/4"" X 3 FT. OILCRAT","U6"
"401758","1203350","DRILL ROD 7/8"" X 3 FT. OILCRAT","U6"
"309308","1203351","PUSH BUTTON #4004","ENCLOSURE      E6-S8"
"309408","1203352","RECEPTACLE TWIST-LOCK","20 A. 120/208 VOLT       E7-S4"
"309409","1203353","MALE PLUG #5266N","E7-S2"
"309410","1203354","COVER PLATE #20405","HUBBELL      E6-S10"
"405105","1203355","E-43 E-RING","F7-S7"
"405106","1203356","E-50 E-RING","F7-S7"
"405107","1203357","E-62 E-RING","F7-S7"
"405108","1203358","E-98 E-RING","F7-S9"
"405109","1203359","SH-34 EXTERNAL RET.RING","F7-S9"
"405110","1203360","SH-78 EXTERNAL RET.RING","F7-S9"
"309411","1203361","DUPLEX RECEPTACLE PLATE","W/2 HINGED COVER      E6-S10"
"309443","1203362","TOGGLE SWITCH COVER","PLATE (PLASTIC)      E6-S10"
"309444","1203363","TOGGLE SWITCH 0140-4026","MCGILL 4PDT17A ON-OFF-ON      E7-S5"
"309114","1203364","1"" LIQUID TIGHT CONDUIT","W23-S1"
"309115","1203365","1/1/4""LIQUID-TIGHTCONDUIT","W23-S2"
"309116","1203366","1 1/2""LIQUID-TIGHTCONDUIT","W23-S1"
"309117","1203367","2"" LIQUID-TIGHT CONDUIT","W23-S1"
"308112","1203368","WIRE, 16 THHW STR.RED","2000FT     E2-S3"
"308113","1203369","WIRE, #16 THHN STR.BLUE","E2-S6"
"308114","1203370","WIRE, #16 THHN STR.YELLOW","E2-S3"
"309047","1203371","PLASTIC3""","CONDUIT BUSHING      E4-S8"
"309048","1203372","PLASTIC 2-1/2","CONDUIT BUSHING      E4-S8"
"309603","1203373","LAMP RECEPTACLE #VPT-1AV","E7-S8"
"309049","1203374","PLASTIC2""","CONDUIT BUSHING      E4-S8"
"309050","1203375","PLASTIC   1-1/2""","CONDUIT BUSHING        E4-S7"
"303362","1203376","LEDGER PLATE, ""STOP""","#CH10250TM34          C7-S1"
"303363","1203377","LEDGER PLATE 10250TM49","(AUTO-OFF-HAND)     C7-S1"
"303364","1203378","LEDGER PLATE 10250TM50","(FORWARD-OFF-REVE     C7-S1"
"303365","1203379","LEDGER PLATE 10250TM54","(UP-OFF-DOWN)      C7-S1"
"416158","1203380","CODE 38166 CABLE HINGE PIN","HINGE PIN       H5-STANDING"
"418433","1203381","SPROCKET 80BS11, 1-7/16""","J5-S1"
"418434","1203382","SPROCKET 80BS24, 2-15/16""","MARTIN KW&SS        J5-S1"
"517118","1203383","CRANE HOOK S319-C (BLANK)","20TON 10"" SHAFT        K3-S9"
"416171","1203384","3/16"" X 15"" X 20&  CONVEYOR","BELT C-150 2 PLY 200DEG.     W92-S1"
"415653","1203385","AIR CYLINDER M/960/M/200/H/F","W-12"
"415537","1203386","RCA5D2 VALVE QUICK","EXHAUST 110 VOLT COIL       H5-S4"
"415601","1203387","#ASMP1 AIR CYLINDER","6""BORE 12"" STROKE 1.375      W7-B2"
"517140","1203388","SHOES  C100B-5100A","B1-S6"
"415651","1203389","ASMP14X21CC 1","3/8""-2-U-V CYLINDER W7 BOX 1 FLOOR"
"517141","1203390","SWITCH TYPE SB-10 71853800000","208A7031G1X2 SB10   K2-S6"
"416133","1203391","H-100 BELT TOOL","H4-S2"
"416134","1203392","NC-24 24"" HINGE PIN","H5-STANDING"
"417823","1203393","BEARING, FLANGE, FCL-528","PILOTED MEITHER HOUSING          W83-FL"
"417825","1203394","BEARING, FLANGE, 1-3/16""","2 BOLT J-7       I8-S7"
"417826","1203395","BEARING, FLANGE, 2-3/16"" MFC35","PILOTED         I8-S5"
"419104","1203396","BRAKE EDDY CURRENT * 1BV-30C","90V 2.17 AMP W6-FL"
"523229","1203397","SPRAY GUN, MODEL FCV-100","L4-S9"
"520109","1203398","SCRAPERS REF.","#120.205 FOR ZAMIX II       K7-S4"
"520112","1203399","POWER SUPPLY UNIT 0218500","K6-S5"
"520524","1203400","BEVEL GEAR #0121-0025-5","K8-S10"
"532126","1203401","POWER SUPPLY,K84366170 PFB-628","SUPPLY  T1-S2"
"532127","1203402","IGNITER ELECTRODE 1-64-3  4724","R240-3203       O4-S6"
"522370","1203403","NUT, KM-13 LOCK","M3-S5"
"522371","1203404","2013F1571 STRIP","M4-S6"
"522372","1203405","WASHER, MB-13 LOCK","M3-S5"
"522373","1203406","9105F0379 ""O"" RING","M7-S1"
"522374","1203407","9107L0102 FITTING","M8-S11"
"304260","1203408","FUSE GOULD #TRS50R","50AMP 600 VOLT     C8-S3"
"304190","1203409","FUSE (439D482G06) 15.500","VOLT 150 E VOLT              C8-S9"
"304203","1203410","FUSE (GMA-1 1/2)","C8-S7"
"304204","1203411","FUSE AGC-15 AMP","C7-S5"
"304205","1203412","FUSE (KTK-R 6A) CLASS CC","C8-S6"
"304206","1203413","FUSE (KGR-100)","C8-S6"
"304207","1203414","FUSE (FNQ-8) 500 VOLT","C8-S1"
"304261","1203415","FUSE FUSETRON #FRS-R-600","600VOLT    C9-S5"
"309233","1203416","CONDUIT NIPPLE 3/4"" X 4""","E6-S1"
"309234","1203417","CONDUIT NIPPLE 3/4"" X 5""","E6-S1"
"309014","1203418","CONDUIT HANGER 1""","WITH BOLT     E4-S8"
"309235","1203419","CONDUIT NIPPLE 3/4"" X 6""","E6-S1"
"309236","1203420","CLOSE CONDUIT NIPPLE 1""","E6-S1"
"309016","1203421","UNISTRUT CLAMP 3""","E5-S1"
"309017","1203422","UNISTRUT CLAMP 2 1/2""","E4-S1"
"304605","1203423","FUSE CLIP (60 AMP)","250 VOLT #6202)    C6-S2"
"304606","1203424","FUSE HOLDER FH-1","D9-S4"
"308300","1203425","LAMP #18/2 SPT-1","CORD 110 VOLT     E2-S1"
"308301","1203426","WIRE, IGNITION 7MM 734907","#CC7N (PLUG)   E2-S1"
"308400","1203427","CABLE, WELDING #1/0","E1-S4"
"418328","1203428","CONNECTING LINK, 200H","J7-S5"
"418426","1203429","SPROCKET TOOTH 120-E-16","J6-S9"
"418427","1203430","SPROCKET 80BS15, 1-1/4""","J6-S10"
"523916","1203431","SEAL KIT, SHAFT 61004","(CHAR-LYN HYD. MOT)       M9-S4"
"417501","1203432","ADAPTER, SNW28 X 4-15/16""","STANDARD ADAPTER     I2-S1"
"519521","1203433","HOIST BRAKE SHOE 303A1132","SET #3 CRANE  (PAIR)      J4-S5"
"417502","1203434","ADAPTER, SNW30 X 5-3/16""","ADAPTER    I2-S1"
"418315","1203435","ROLLER CHAIN, 40-2 RIV","J7-S5"
"417904","1203436","BEARING, TAKE-UP, 1-11/16"" SC","NARROW SLOT       I9-S2"
"535514","1203437","MICROPHONE, WTA-10GSPEAKER","O9-S4"
"535342","1203438","IGNITOR HOT SURFACE IGN00054","IGNITOR 1GN00054      O8-S3"
"408034","1203439","RING, SWIRL 169222","F5-S7"
"417905","1203440","BEARING, TAKE-UP, 2"" SC","#NSTUSC200 (125372)        I9-S2"
"418330","1203441","35 CONNECTING LINK","J7-S6"
"418415","1203442","50BTL14 SPROCKET","J6-S6"
"522432","1203443","2013F2311 GASKET","M4-S2"
"801241","1203444","2217-04  2000ML SOAP (CASE)","P1-S6"
"404363","1203445","3/4-10X 1"" USS GRADE 8","F7-S2"
"417361","1203446","BEARING PILLOW BLOCK DODGE","SAF22522C3 X3 15/16""             W83-FL"
"417421","1203447","BEARING, CONE, 3192","I4-S7"
"416262","1203448","510-200 1 1/8"" BORE SHEAVE","CONTROLLABLE PULLEY       H4-S4"
"418388","1203449","SPROCKET DODGE TBL615","W/1610 TAPER       J6-S1"
"419267","1203450","SPEED REDUCER, SHAFT MOUNTED","STRAIGHT BORE  (241065)    W6-B2"
"421161","1203451","3/4"" X 6"" NIPPLE SCH. 80","J2-S3"
"421162","1203452","NIPPLE 1"" X CLOSE SCH. 80","80 BLACK PIPE       J2-S4"
"418373","1203453","SPROCKET 40BTB21, 1610 DODGE","W/1610 TAPER      J7-S7"
"418376","1203454","SPROCKET DODGE TLB513","W/1008 TAPER     J7-S7"
"418377","1203455","SPROCKET DODGE TLB515","W/1210 TAPER      J7-S7"
"418378","1203456","SPROCKET, 50BTB16, 1610 DODGE","W/1610 TAPER      J7-S7"
"418380","1203457","SPROCKET   50B21 X 1 3/16""","J7-S7"
"418381","1203458","SPROCKET DODGE TLB522","W/1610 TAPER     J7-S7"
"418384","1203459","SPROCKET DODGE TLB536","W/2012 TAPER      J6-S2"
"418385","1203460","SPROCKET DODGE TLB545","W/2012 TAPER       J6-S1"
"415500","1203461","BBS160 VIBRATOR","H5-S4"
"418403","1203462","SPROCKET 120E17 QD","120CHAIN 17 TOOTH      J6-S5"
"418405","1203463","SPROCKET DS40A18","J6-S5"
"812400","1203464","GREASE, SVS 67 HIGH TEMP","REPALCES MYSTIK JT6 HI-TEMP GREASE 10/14 665005 Q1-S3"
"530212","1203465","VALVE HANDLE, 2-3520-3","1126-0 THRU 5      O3-S2"
"812404","1203466","CASTROL LUBECON SERIES I/M","LUBRICANT 69510-AE 5-GALLON CONTAINER   OIL ROOM"
"523103","1203467","PUMP,TYPE 316 SS GEAR TRANSFER","CATYLIST PUMP 43095K56      L5-SC1"
"531124","1203468","ELEMENT NAT 7834-3","DWG. # EC3 PART #1 RIGHT SIDE WHS BEHIND MOLD WASH"
"523104","1203469","PUMP, FH-432 STD FTD W/RV","3 GPM 1800RPM      L5-S1"
"523989","1203470","SEAL, FELT 35896","N9-S5"
"523108","1203471","MIXER PADDLE KM-34-20-00-03-01","PADDLES 1500#/MIN KLOSTER       L5-FL"
"523109","1203472","DOOR LINER, KM-34-20-01-05","1500#/MIN KLOSTER {2PCS EQUALS SET}   L-END"
"522408","1203473","2013F1321 SHAFT, TOP","M4-S3"
"523990","1203474","WASHER, FIBER 87678","N9-S5"
"523991","1203475","NUT, CAP 040810","N9-S5"
"522409","1203476","2013F1141 COVER","M4-S3"
"522410","1203477","9130X1002 OIL PUMP","M8-S2"
"522411","1203478","2013G1970 LONG STEERING BAR","STEERING BAR LONG     M4-S5"
"522412","1203479","2013B3300 TIE ROD SLEEVE 1pc=a set of(4)","NEW        W-83"
"521402","1203480","HEXAGON SCREW 00362","M12 X 20 DIN 933-A2E     K9-S6"
"521403","1203481","3206-16T3 BLOWER L8300","W4-B3"
"521405","1203482","#5.2817.501.3 THERMOCOUPL","ASSY.36"" ITEM 1     L8-S8"
"521406","1203483","#5.2858.501.3 MOISTURE PROBE","PROBE ASSY ITEM 1 40""   L9-TOP"
"521407","1203484","#51.003.1.1. TELMAR TRANS","ITEM 3       L9-S1"
"521408","1203485","BLADE #2500.168.1.1","AGITATOR ITEM #21   L9-S1"
"521409","1203486","TUBE #2500.129.1.1","SPECIMEN ITEM 24   L9-S1"
"521410","1203487","STRIKE OFF #2500.130.1.1","PLATE ITEM #27 *  L9-S1"
"521413","1203488","ROD END #2500.128.2.5011","CAP EJECT CYLINDER ITEM 49  L9-S1"
"520130","1203489","FLOW SWITCH #G-32776-01","N.O. 1.0 GPM       K6-S3"
"521414","1203490","#1""RCDL MODEL 70 BADGER","WATER METER W/PFTIE  50.731.1.5.1        L9-S7"
"521431","1203491","BAG 40 1/2""X 19 1/2""","100% POLYESTER FELT P199441-016-002 W-18"
"522109","1203492","2040R1011 REPAIR KIT","M6-S9"
"522111","1203493","9105F0378 ""O"" RING","M7-S1"
"522290","1203494","9103D2212 SCREWS","M7-S6"
"702343","1203495","PAINT, SPRAY (GLOSS WHITE)","B9-CAB"
"812215","1203496","SHELL MORLINA S4B 320","OIL ROOM"
"522291","1203497","9107L0109 FITTING","M8-S11"
"527312","1203498","RUBBER SHEET, EPDM","1-1/2"" X 30"" X 34""        W-7"
"522335","1203499","2040F0161 NOZZLE","M6-S4"
"522336","1203500","9107L0157 FITTING","M8-S11"
"522117","1203501","2040R1031 REPAIR KIT","M6-S9"
"522118","1203502","9107L0113 FITTING","M8-S11"
"812600","1203503","BRAKE FLUID (PINT)","WAGNER 12 OZ. FC134280    Q1-S1"
"702539","1203504","COPPER PIPE, 1"" ACR","I-END"
"817100","1203505","GASKET *3054* 1/16""TK X 36""W","3054 KARROPAK TAN FIBRE-10 YARDS X 36"" X 1/16""    S3-FL"
"535325","1203506","ELECTRODE, 32.508","DR160NFS-2-120V HEATER       O8-S1"
"533136","1203507","FLAME ROD ASSY 4-25432-4","O5-S1"
"533137","1203508","TILE FOR 4441-5 FIBER WALLS","ALUMINA/ MULLITE         W76-T"
"521666","1203509","O-RING UM1614","L8-S4"
"418353","1203510","SPROCKET D60B26 SPLIT X 2""BORE","60-2B25H        J6-S7"
"523890","1203511","FILTER, RETURN LINE ELEMENT","(950L) PART# 0950 R 005 BN4HC  L1-FL"
"405089","1203512","3/4 -10 USS THRD.INSRT","F6-S6"
"418540","1203513","BELT, FOR 54"" FANS, V-BELT","82--ON FENCE"
"527191","1203514","NOZZELS, DRUM (3404K34)","(1/4"" 3GPM @40 PSI.)65 DEGREE ANGLE        N2-S6"
"527192","1203515","NOZZELS, BELT (3404K78)","(1/8"" .5GPM @40 PSI) 65 DEGREE ANGLE       N2-S6"
"601126","1203516","BUSHING, BRASS 6391K437","(1-5/8"" OD)  (1-3/8"" ID)    (1-1/2"" LONG)      P7-S3"
"306942","1203517","PS24-300D PWR SPLY 24VDC 12A","T1-S2"
"3294110","1203518","LAB WHEEL 4XT161-MB39","14"" X 3"" X 1-1/4"" 1800RPM              R5-FL"
"523170","1203519","SCREEN WIRE MESH SS","L5-S2"
"521667","1203520","U9312D DOME 8""",""
"417824","1203521","BEARING, PILLOW BLOCK, 3-15/16""","4 BOLT      I5-FL"
"304284","1203522","FUSE A155F1D0R0-100E FERRAZ","SHAWMUT  100E AMP 15.5 KV 50KA     D7-S1"
"530238","1203523","BURNER W/TILE, 4425-7-A","FOR:#1-#3 LADLE BURNERS W-76"
"305611","1203524","LARGE FIXTURE WITH COVER","120/277VOLTS PART#'S MET2HBI632UPLL5 & METFRMLENS  W25-FL"
"418149","1203525","L150 X 1.875 BORE C&PLING HALF","J8-S4"
"523888","1203526","POTENTIOMEMTER COUPLING","GUARDIAN 453H19/24         L1-S4"
"418420","1203527","SPROCKET 60B11 1 1/4","J6-S8"
"415271","1203528","SAFETY AIR FILTER 35123520","H6-S1"
"408855","1203529","JAN, WYPALL X80","VB 036000-41043    S5-S1"
"415376","1203530","ELECTRONIC DRAIN VALVE","PART#9831K14     H7-S6"
"521673","1203531","ROTARY AIRLOCK 10 X 10","HEAVY DUTY CAROLINA CONVEYING       X-3"
"519099","1203532","RESISITOR GES 9184 063 P0010","OHMITE TAP600J10R 10 OHM 600 WATT      K4-S1"
"523265","1203533","RELAY,PLUG IN","K-53-01-001  L6-S1"
"523266","1203534","SOLENOID VALVE","K-23-01-006-1      L2-S1"
"306202","1203535","MOTOR-30HP MOTOR 1800-RPM","286T-FRAME  230/460 VOLT 0304SDSR41A-P    W2-B2"
"518156","1203536","PRESSURE MODULE DCP200A","FOR DCT1022 (518155) 20"" WATER COLUMN        T1-S2"
"521656","1203537","CB2456  DOME TO SHAFT BOLT","3/4"" SOCKET HEAD SHOULDER BOLT X 1-1/2"" LONG      L8-S3"
"521657","1203538","INFLATABLE U2802C-5S","SILICON SEAL  L8-S6"
"306197","1203539","MOTOR 30HP 1750RPM 286TC FRAME","#0304SDSR41A-P      W6-FL"
"416462","1203540","BUSHING, SF 2-1/4""","H1-S6"
"522446","1203541","2040R8110 SEAL KIT FOR BUSHING","(USED WITH 00522257 AS AN ASSY)      M6-S8"
"306889","1203542","CONTROL TRANSFORMER 50 VA","ACMTB81210      D4-S2"
"304622","1203543","FUSE BLOCK, PRIMARY","D9-S4"
"304287","1203544","FUSE, UNIVERSAL  ACMPL112603","ACMPL112603      D9-S4"
"304288","1203545","FUSES, 3/10 AMP","BUSFNQR310       C8-S1"
"303456","1203546","#ELESBPUS , TWO-SPEED 2-BUTTON SWITCH FO","C7-S4"
